,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
Belconnen,,0,123,17,7,113,9,72,288,513,639,529,0,33,2,86,37,3,136,8,50,290,526,453,624,3,36,0,85,18,7,120,8,60,202,591,905,486,1,28,1,107,30,8,140,11,48,312,536,551,673,1,31
,Aranda,0,2,0,0,2,0,5,2,15,94,8,0,1,0,0,0,0,1,0,1,8,24,59,5,0,0,0,1,0,0,1,0,2,7,15,94,6,0,3,0,8,0,0,11,0,1,7,13,97,19,0,0
,Belconnen,0,30,0,2,23,4,17,89,173,98,216,0,2,0,15,14,0,25,2,11,81,171,111,214,0,8,0,20,2,2,19,2,8,35,135,175,178,0,3,0,19,7,3,33,4,8,78,177,134,237,0,5
,Bruce,0,13,3,0,13,1,6,13,45,142,39,0,5,2,4,3,0,24,0,6,36,41,66,53,1,3,0,5,0,0,12,0,8,11,40,239,30,0,2,0,7,1,0,7,0,9,32,41,77,56,0,3
,Charnwood,0,9,0,0,3,1,0,19,18,20,15,0,0,0,5,0,0,3,0,0,10,24,9,17,0,7,0,4,0,0,7,0,2,10,19,28,27,0,1,0,6,1,2,4,0,1,7,36,16,24,0,4
,Cook,0,0,0,0,2,0,3,4,8,41,2,0,0,0,0,2,0,4,0,1,2,0,7,11,0,0,0,2,0,0,0,0,1,3,12,18,2,0,0,0,1,0,0,2,0,1,6,7,29,9,1,0
,Dunlop,0,13,2,1,1,0,2,8,18,6,18,0,0,0,6,1,0,3,0,2,13,10,1,12,0,1,0,5,3,1,3,0,1,7,11,8,6,0,0,0,8,0,0,6,0,1,11,11,7,14,0,0
,Evatt,0,7,0,0,11,0,0,3,19,13,27,0,1,0,3,1,0,10,0,1,7,9,5,20,0,1,0,6,0,0,9,0,1,9,8,13,15,0,0,1,6,4,0,8,0,1,11,15,13,19,0,1
,Florey,0,7,0,1,8,1,9,14,33,24,18,0,1,0,6,2,1,14,0,2,4,40,34,23,0,0,0,9,0,1,5,0,10,9,36,29,15,0,3,0,4,1,0,8,0,2,13,38,17,35,0,0
,Flynn,0,5,0,0,2,0,0,5,7,7,5,0,2,0,1,0,0,2,0,1,3,11,4,4,0,1,0,2,1,0,3,0,0,5,9,9,3,0,2,0,3,2,0,3,0,2,4,19,0,4,0,0
,Fraser,0,1,4,0,0,0,0,2,3,5,2,0,0,0,2,1,1,1,0,0,8,6,2,4,0,0,0,1,1,1,3,0,0,2,3,5,4,0,0,0,3,0,0,2,0,0,2,1,4,3,0,0
,Giralang,0,0,0,0,2,1,0,7,11,7,9,0,1,0,3,0,0,1,1,0,4,8,11,31,0,5,0,0,0,0,2,0,3,4,8,18,7,0,0,0,0,2,0,1,1,0,3,13,13,13,0,2
,Hawker,0,2,0,0,3,0,1,3,13,23,15,0,2,0,3,0,0,4,0,1,20,18,13,30,0,1,0,1,0,0,3,1,2,6,10,36,20,0,1,0,1,5,0,7,0,2,20,18,20,26,0,0
,Higgins,0,2,3,1,3,0,4,7,4,17,9,0,0,0,3,0,0,1,0,2,4,22,5,7,0,0,0,0,0,0,2,0,1,2,18,13,8,0,0,0,0,0,0,1,0,0,5,7,12,4,0,1
,Holt,0,6,0,0,9,0,7,20,25,10,35,0,1,0,8,2,0,13,1,4,40,34,20,85,1,2,0,5,2,0,12,2,2,12,33,39,45,0,2,0,13,3,0,11,2,4,28,25,23,58,0,1
,Kaleen,0,5,3,0,3,0,3,24,32,31,20,0,6,0,4,1,0,5,2,1,9,15,33,20,0,1,0,2,1,0,7,0,3,13,130,59,25,0,3,0,3,2,0,5,1,3,17,11,21,34,0,2
,Latham,0,2,0,0,6,1,3,15,9,22,15,0,2,0,1,0,0,1,1,1,2,5,12,3,1,0,0,0,0,0,0,1,2,2,16,24,4,0,2,0,3,0,0,3,0,0,5,11,7,12,0,2
,Lawson,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0
,Macgregor,0,8,1,1,3,0,4,10,13,11,18,0,1,0,0,4,0,6,0,5,6,21,8,16,0,0,0,8,0,0,7,0,2,4,10,14,22,0,0,0,5,0,2,5,0,4,10,19,10,38,0,0
,Macquarie,0,3,0,1,3,0,1,6,15,17,14,0,4,0,3,0,0,7,0,3,8,10,13,18,0,1,0,2,1,0,4,0,5,27,30,11,27,0,0,0,2,0,0,9,0,0,15,13,13,29,0,2
,McKellar,0,2,0,0,2,0,3,5,10,8,4,0,1,0,4,3,0,4,0,0,3,14,9,4,0,0,0,3,0,0,1,1,2,6,10,11,4,0,0,0,4,0,1,1,0,1,7,6,6,10,0,2
,Melba,0,1,0,0,0,0,0,5,15,9,7,0,2,0,2,1,0,3,0,1,5,12,6,16,0,0,0,4,6,0,4,0,0,11,13,14,8,0,3,0,3,1,0,3,3,1,5,17,7,3,0,3
,Page,0,1,0,0,6,0,0,14,12,8,11,0,1,0,5,1,0,3,1,2,7,9,12,7,0,0,0,0,0,0,5,0,1,5,12,15,8,1,1,0,0,1,0,1,0,0,3,8,6,8,0,0
,Scullin,0,1,1,0,4,0,3,9,7,6,7,0,0,0,5,1,0,1,0,2,4,8,5,6,0,1,0,4,1,2,5,0,2,5,7,18,7,0,0,0,5,0,0,4,0,2,6,15,3,10,0,0
,Spence,0,3,0,0,4,0,1,3,5,6,11,0,0,0,3,0,0,0,0,0,1,8,0,12,0,1,0,1,0,0,2,1,1,2,0,3,9,0,0,0,2,0,0,4,0,3,5,9,12,3,0,2
,Weetangera,0,0,0,0,0,0,0,1,3,9,4,0,0,0,0,0,1,0,0,3,5,6,2,6,0,3,0,0,0,0,4,0,1,4,5,10,6,0,2,0,1,0,0,0,0,2,10,5,3,5,0,1
Gungahlin,,0,29,3,1,56,3,21,79,205,381,186,0,13,0,40,5,1,60,1,32,133,245,384,246,0,20,0,34,5,1,59,5,27,87,212,366,185,0,13,0,79,4,5,86,1,32,155,205,405,326,0,9
,Amaroo,0,2,1,0,2,0,0,4,9,5,7,0,2,0,0,1,0,5,0,3,12,5,4,7,0,0,0,1,1,0,1,0,1,12,6,7,2,0,0,0,5,0,0,6,0,2,22,12,7,20,0,0
,Bonner,0,1,0,0,2,0,1,7,5,4,7,0,0,0,5,1,0,5,0,5,8,9,4,16,0,1,0,2,0,0,2,0,2,7,7,7,4,0,0,0,7,0,0,2,0,3,7,5,7,9,0,1
,Casey ,0,1,1,1,8,0,5,8,11,7,9,0,0,0,2,0,0,5,0,2,12,8,11,20,0,0,0,1,0,0,9,0,6,7,4,16,14,0,0,0,6,1,1,5,0,2,8,12,9,9,0,1
,Crace,0,0,0,0,3,0,1,5,6,17,17,0,0,0,0,0,0,4,0,3,11,5,15,3,0,2,0,2,0,1,2,0,2,4,6,12,16,0,0,0,4,0,0,5,0,2,8,5,4,91,0,0
,Forde,0,0,0,0,0,1,0,3,4,5,2,0,0,0,0,1,0,3,0,3,16,9,11,18,0,0,0,3,0,0,1,0,0,0,8,3,5,0,0,0,1,0,0,3,0,2,4,8,6,6,0,1
,Franklin,0,1,0,0,2,0,1,6,13,73,12,0,1,0,0,0,0,6,0,2,8,9,61,24,0,2,0,1,1,0,2,0,0,8,16,61,14,0,0,0,5,1,0,6,0,3,11,10,86,13,0,0
,Gungahlin,0,5,1,0,6,0,2,12,59,60,60,0,2,0,11,0,0,7,0,5,22,64,85,67,0,3,0,13,1,0,6,3,5,11,70,79,63,0,8,0,13,2,2,17,1,4,48,61,94,65,0,4
,Hall,0,0,0,0,2,0,0,2,3,1,2,0,0,0,0,0,0,1,1,0,2,5,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,0
,Harrison,0,1,0,0,10,0,2,1,3,33,16,0,0,0,2,0,0,5,0,2,6,30,50,26,0,2,0,2,1,0,5,0,0,4,12,51,9,0,1,0,10,0,0,8,0,2,9,20,55,19,0,0
,Jacka,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0
