School Name,Street Address,Suburb,Sector,Type,Location 1
Franklin Early Childhood School,Oodgeroo Avenue,Franklin,Government,Early Childhood School,"(-35.200461, 149.141327)"
Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,Early Childhood School,"(-35.428716, 149.089497)"
Lyons Early Childhood School,Tarraleah Crescent,Lyons,Government,Early Childhood School,"(-35.341633, 149.076243)"
Narrabundah Early Childhood School,Kootara Crescent,Narrabundah,Government,Early Childhood School,"(-35.329016, 149.150698)"
O'Connor Cooperative School,MacPherson Street,O'Connor,Government,Early Childhood School,"(-35.261994, 149.120736)"
Southern Cross Early Childhood School,Wirraway Crescent,Scullin,Government,Early Childhood School,"(-35.232767, 149.038363)"
Ainslie Preschool,Baker Gardens,Ainslie,Government,Preschool,
Amaroo Preschool,Burdekin Avenue,Amaroo,Government,Preschool,
Aranda Preschool,Gingana Street,Aranda,Government,Preschool,
Bonython Preschool,Hurtle Avenue,Bonython,Government,Preschool,
Calwell Preschool,Casey Crescent,Calwell,Government,Preschool,
Campbell Preschool,Chauvel Street,Campbell,Government,Preschool,
Chapman Preschool,Perry Drive,Chapman,Government,Preschool,
Charles Conder Preschool,Tom Roberts Avenue,Conder,Government,Preschool,
Charnwood-Dunlop Preschool,Bettington Circuit,Charnwood,Government,Preschool,
Chifley Preschool Torrens Primary School,Maclaurin Crescent,Chifley,Government,Preschool,
Chisholm Preschool,Hambidge Street,Chisholm,Government,Preschool,
Curtin North Preschool,Ayers Street,Curtin,Government,Preschool,
Curtin South Preschool,Carruthers Street,Curtin,Government,Preschool,
Deakin Preschool - Forrest Primary School,Hopetoun Street,Deakin,Government,Preschool,
Downer Preschool - Lyneham Primary School,Cotton Street,Downer,Government,Preschool,
Duffy Preschool,Burrinjuck Crescent,Duffy ,Government,Preschool,
Allen Main Memorial Preschool (Duntroon) - Campbell Primary School,Vowles Rd.,Duntroon,Government,Preschool,
Evatt Preschool,Heydon Crescent,Evatt,Government,Preschool,
Fadden Preschool,Hanlon Crescent,Fadden,Government,Preschool,
Farrer Preschool,Longeranong Street,Farrer,Government,Preschool,
Florey Preschool,Ratcliffe Crescent,Florey,Government,Preschool,
Flynn Preschool Mt Rogers Primary School,Hedland Circuit,Flynn,Government,Preschool,
Fraser Preschool,Tillyard Drive,Fraser,Government,Preschool,
Garran Preschool,Robson Street,Garran,Government,Preschool,
Gilmore Preschool,Heagney Crescent,Gilmore,Government,Preschool,
Giralang Preschool,Canopus Crescent,Giralang,Government,Preschool,
Gordon Preschool,Knoke Avenue,Gordon,Government,Preschool,
Gold Creek Preschool,Kelleway Street,Nicholls,Government,Preschool,
Gowrie Preschool,Jeffries Street,Gowrie,Government,Preschool,
Griffith Preschool - Red Hill Primary School,Bannister Gardens,Griffith,Government,Preschool,
Hackett Preschool - North Ainslie Primary School,Mills Street,Hackett,Government,Preschool,
Hall Preschool - Gold Creek School,Hoskin Street,Hall,Government,Preschool,
Harrison Preschool,Nullabor Avenue,Harrison,Government,Preschool,
Hawker Preschool,Kulgera Street,Hawker,Government,Preschool,
Hughes Preschool,Kent Street,Hughes,Government,Preschool,
Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,Preschool,
Jervis Bay Preschool,Jervis Bay,ACT 2540,Government,Preschool,
Kaleen Preschool,Ashburton Circuit,Kaleen,Government,Preschool,
Kingsford Smith Preschool Unit - Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,Government,Preschool,
Latham Preschool,Wanless Street,Latham,Government,Preschool,
Lyneham Preschool,Glover Street,Lyneham,Government,Preschool,
Lyons Early Childhood School,Tarraleah Crescent,Lyons,Government,Preschool,
MacGregor Preschool,Code Crescent,MacGregor,Government,Preschool,
Macquarie Preschool,Bennelong Crescent,Macquarie,Government,Preschool,
Maribyrnong Preschool,Alberga Street,Kaleen,Government,Preschool,
Mawson Preschool,Ainsworth Street,Mawson,Government,Preschool,
Melba Preschool - Mt Rogers Primary School,Grainger Circuit,Melba,Government,Preschool,
Miles Franklin Preschool,Alderman Street,Evatt,Government,Preschool,
Monash Preschool,Forwood Street,Monash,Government,Preschool,
Namadgi School - Boddington Site,Boddington Crescent,Kambah,Government,Preschool,
Namadgi School - O'Halloran Site,O'Halloran Circuit,Kambah,Government,Preschool,
