stop_lat,stop_name,stop_id,the_geom,stop_lon
-35.28751,Arboretum Car Park,32,POINT (149.06832900020888 -35.28750999935273),149.068329
-35.291889,Arboretum Stop 3,33,POINT (149.06399500020567 -35.291888999352366),149.063995
-35.347042,Fremantle Dr after McKail Cr,201,POINT (149.04794300019435 -35.347041999347056),149.047943
-35.273621,Donaldson St after Ainslie Primary School,300,POINT (149.14082300026928 -35.273620999352346),149.140823
-35.216084,MacFarlane Burnet Av after DeGruchy Pl,401,POINT (149.00297500016399 -35.21608399936133),149.002975
-35.212837,MacFarlane Burnet Av after Eccles Cct,402,POINT (149.00419600016474 -35.21283699936164),149.004196
-35.212666,MacFarlane Burnet Av before Eccles Cct,403,POINT (149.0040130001646 -35.212665999361654),149.004013
-35.216072,MacFarlane Burnet Av after Hallows Cct,404,POINT (149.00335700016421 -35.216071999361326),149.003357
-35.209343,MacFarlane Burnet Av after Constance Stone St,405,POINT (149.0032200001641 -35.209342999362),149.00322
-35.209293,MacFarlane Burnet Av before Constance Stone St,406,POINT (149.00297500016396 -35.20929299936203),149.002975
-35.192123,O'Hanlon Pl after Gold Creek Rd,600,POINT (149.08596800022184 -35.19212299936201),149.085968
-35.192142,O'Hanlon Pl before Gold Creek Rd,601,POINT (149.0860750002219 -35.192141999362),149.086075
-35.426113,Drumston St opp MacKillop College,1001,POINT (149.09161400022785 -35.42611299933789),149.091614
-35.425972,Drumston St MacKillop after Isabella Dr,1002,POINT (149.0917050002279 -35.425971999337904),149.091705
-35.418968,Hambidge Cr after Truganini Pl,1003,POINT (149.12002600025167 -35.41896799933791),149.120026
-35.42786,Ellerston Av opp Isabella Plains Shops,1007,POINT (149.09103400022744 -35.42785999933772),149.091034
-35.427479,Ellerston Av Isabella Plains Shops,1008,POINT (149.09141500022773 -35.42747899933775),149.091415
-35.425655,Ellerston Av after Drumston St,1009,POINT (149.09549000023102 -35.42565499933784),149.09549
-35.425766,Ellerston Av 2nd after Collyburl Cr,1010,POINT (149.095459000231 -35.42576599933783),149.095459
-35.426369,Ellerston Av 2nd after Drumston St,1011,POINT (149.09800700023305 -35.42636899933771),149.098007
-35.426601,Ellerston Av after Collyburl Cr,1012,POINT (149.09811400023318 -35.42660099933768),149.098114
-35.428486,Ellerston Av after Abercorn Cr,1013,POINT (149.10061600023525 -35.42848599933743),149.100616
-35.428391,Ellerston Av after Groveland Cr,1014,POINT (149.10035700023502 -35.42839099933744),149.100357
-35.428791,Ellerston Av after 2nd Abercorn Cr,1015,POINT (149.10289000023715 -35.42879099933733),149.10289
-35.428921,Ellerston Av after Ashley Dr,1016,POINT (149.1028440002371 -35.428920999337336),149.102844
-35.435093,Webber Cr Calwell Shops,1017,POINT (149.1137390002464 -35.4350929993364),149.113739
-35.436661,Casey Cr after Roope Cl,1019,POINT (149.11128200024427 -35.4366609993363),149.111282
-35.436859,Casey Cr after Downard St,1020,POINT (149.1108400002439 -35.436858999336295),149.11084
-35.439865,Duggan St after Downard St,1027,POINT (149.09861800023367 -35.43986499933629),149.098618
-35.439835,Duggan St after Beckett St,1028,POINT (149.09848000023356 -35.439834999336306),149.09848
-35.441601,Duggan St after Tharwa Dr,1029,POINT (149.10090600023557 -35.441600999336046),149.100906
-35.441601,Duggan St after Andrew Cr,1030,POINT (149.10112000023577 -35.44160099933605),149.10112
-35.444824,Tharwa Dr after Fidge St overpass,1031,POINT (149.1057130002396 -35.44482399933559),149.105713
-35.444454,Tharwa Dr after Fidge St overpass,1032,POINT (149.10398900023816 -35.44445399933568),149.103989
-35.447277,Lawrence Wackett Cr opp Theodore Primary School,1033,POINT (149.124619000256 -35.447276999334846),149.124619
-35.447346,Lawrence Wackett Cr Theodore PS,1034,POINT (149.12448100025583 -35.44734599933485),149.124481
-35.449867,Lawrence Wackett Cr after Burdett Cr,1035,POINT (149.12255900025417 -35.44986699933464),149.122559
-35.450001,Lawrence Wackett Cr after Latchford St,1036,POINT (149.12249800025413 -35.45000099933462),149.122498
-35.450821,Chippindall Cct after Louis Loder St,1037,POINT (149.12010200025202 -35.4508209993346),149.120102
