ID,TYPE,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
112,Sit Up Bench,Ainslie,Ainslie Football Park,,,-35.263555,149.138529,"(-35.263555, 149.138529)"
50,Chinup Bar,Greenway,Tuggeranong Town Park,,,-35.411585,149.067439,"(-35.411585, 149.067439)"
11,Body Lift,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171564,149.094203,"(-35.171564, 149.094203)"
139,Parallel Bars,Kaleen,Maribyrnong Avenue Neighbourhood Park,,,-35.2229,149.111542,"(-35.2229, 149.111542)"
23,Parallel Bars,Belconnen,John Knight Memorial Park,,,-35.236962,149.074375,"(-35.236962, 149.074375)"
52,Push Ups,Greenway,Tuggeranong Town Park,,,-35.411576,149.06748,"(-35.411576, 149.06748)"
268,Log Hop,Belconnen,John Knight Memorial Park,,,-35.237297,149.073844,"(-35.237297, 149.073844)"
9,Stretching Equipment,Phillip,Eddison District Park,,,-35.341363,149.09114,"(-35.341363, 149.09114)"
39,Stretching Equipment,Wright,Swallowtail Road Road Verge,,,-35.32511,149.030715,"(-35.32511, 149.030715)"
40,Stretching Equipment,Wright,Swallowtail Road Road Verge,,,-35.32511,149.030731,"(-35.32511, 149.030731)"
153,Stretching Equipment,Yarralumla,Flynn Drive - Road Verge,,,-35.299468,149.122135,"(-35.299468, 149.122135)"
53,Parallel Bars,Greenway,Tuggeranong Town Park,,,-35.411581,149.067492,"(-35.411581, 149.067492)"
210,Pull Ups,Gungahlin,Yerrabi District Park,,,-35.178029,149.130632,"(-35.178029, 149.130632)"
198,Stretching Equipment,Wright,Dunphy Street Pedestrian Parkland,,,-35.324746,149.038493,"(-35.324746, 149.038493)"
285,Chinup Bar,Forde,Forde Linear Park,,,-35.167647,149.143776,"(-35.167647, 149.143776)"
230,Sit Up Bench,Forde,Zakharov Avenue Pedestrian Parkland,,,-35.172773,149.143759,"(-35.172773, 149.143759)"
200,Pull Downs,Wright,Dunphy Street Pedestrian Parkland,,,-35.323809,149.039454,"(-35.323809, 149.039454)"
35,Ping Pong Table,Franklin,Kilmeny Close Community Park (Crip),,,-35.197518,149.14397,"(-35.197518, 149.14397)"
164,Step Ups,Yarralumla,Alexandrina Drive - Pedestrian Parkland,,,-35.299535,149.112963,"(-35.299535, 149.112963)"
264,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.237172,149.073722,"(-35.237172, 149.073722)"
274,Vault,Belconnen,John Knight  Memorial Park,,,-35.237148,149.073737,"(-35.237148, 149.073737)"
201,Step Ups,Wright,Dunphy Street Pedestrian Parkland,,,-35.32383,149.03939,"(-35.32383, 149.03939)"
46,Pull Ups,Greenway,Tuggeranong Town Park,,,-35.41157,149.067424,"(-35.41157, 149.067424)"
188,Step Ups,Wright,Peter Cullen Way Neighbourhood Park,,,-35.32369,149.033027,"(-35.32369, 149.033027)"
49,Roman Rings,Greenway,Tuggeranong Town Park,,,-35.411578,149.067443,"(-35.411578, 149.067443)"
