ASSET ID,LOCATION,LOCATION DESCRIPTION,BBQ TYPE,Location 1,LATITUDE,LONGITUDE
BBQ23,Acton,Black Mountain Peninsula District Park,Electric,"(-35.291606, 149.100139)",-35.291606,149.100139
BBQ134,Bonython,Derrington Crescent Pedestrian Parkland,Electric,"(-35.429604, 149.071265)",-35.429604,149.071265
BBQ435,Greenway,Tuggeranong Town Park,Electric,"(-35.4099, 149.065091)",-35.4099,149.065091
BBQ53,Gungahlin,Yerrabi District Park,Electric,"(-35.179366, 149.130643)",-35.179366,149.130643
BBQ96,Fadden,Fadden Pines District Park,Electric,"(-35.410421, 149.120004)",-35.410421,149.120004
BBQ73,Barton,Telopea Park,Electric,"(-35.314876, 149.137811)",-35.314876,149.137811
BBQ296,Greenway,Pine Island South,Electric,"(-35.432464, 149.066173)",-35.432464,149.066173
BBQ491,Franklin,Kilmeny Close Crip Park,Electric,"(-35.197073, 149.143561)",-35.197073,149.143561
BBQ486,Kingston,Norgrove Neighbourhood Park,Electric,"(-35.315017, 149.14675)",-35.315017,149.14675
BBQ432,Kambah,Kambah District Park,Electric,"(-35.391864, 149.062164)",-35.391864,149.062164
BBQ427,Yarralumla,Weston Park,Electric,"(-35.292516, 149.093201)",-35.292516,149.093201
BBQ155,Greenway,Pine Island Central,Electric,"(-35.427589, 149.062231)",-35.427589,149.062231
BBQ71,Barton,Telopea Park,Electric,"(-35.315552, 149.1372)",-35.315552,149.1372
BBQ287,Greenway,Pine Island South,Electric,"(-35.432916, 149.066863)",-35.432916,149.066863
BBQ98,Fadden,Fadden Pines District Park,Electric,"(-35.411668, 149.120282)",-35.411668,149.120282
BBQ32,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227238, 149.063187)",-35.227238,149.063187
BBQ94,Fadden,Fadden Pines District Park,Electric,"(-35.410913, 149.119395)",-35.410913,149.119395
BBQ133,Gordon,Point Hut District Park,Electric,"(-35.456559, 149.083915)",-35.456559,149.083915
BBQ478,Yarralumla,Lennox Gardens,Electric,"(-35.297436, 149.123005)",-35.297436,149.123005
BBQ439,Belconnen,Ginninderra Peninsula District Park West,Electric,"(-35.225735, 149.069598)",-35.225735,149.069598
BBQ430,Yarralumla,Lennox Gardens,Electric,"(-35.29848, 149.121803)",-35.29848,149.121803
BBQ20,Campbell,Molonglo Reach District Park,Electric,"(-35.304593, 149.167366)",-35.304593,149.167366
BBQ14,Ainslie,Corroboree Park,Electric,"(-35.269006, 149.142377)",-35.269006,149.142377
BBQ130,Dunlop,James Harrison Street Neighbourhood Park,Electric,"(-35.191165, 149.016913)",-35.191165,149.016913
BBQ123,Gordon,Point Hut District Park,Electric,"(-35.455778, 149.084313)",-35.455778,149.084313
BBQ494,Yarralumla,Weston Park,Electric,"(-35.291834, 149.090334)",-35.291834,149.090334
BBQ396,Forde,Bruce Dittmar Street Central Neighbourhood Park,Electric,"(-35.176041, 149.144996)",-35.176041,149.144996
BBQ387,Weston,Dillon Close Pedestrian Parkland,Electric,"(-35.337187, 149.054707)",-35.337187,149.054707
BBQ474,Yarralumla,Yarralumla Bay District Park,Electric,"(-35.299422, 149.103594)",-35.299422,149.103594
BBQ56,Gungahlin,Yerrabi District Park,Electric,"(-35.179329, 149.130617)",-35.179329,149.130617
BBQ388,Rivett,Bangalay Crescent Neighbourhood Park,Electric,"(-35.347715, 149.038192)",-35.347715,149.038192
BBQ29,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227896, 149.062728)",-35.227896,149.062728
BBQ425,Phillip,Edison District Park,Electric,"(-35.34133, 149.090271)",-35.34133,149.090271
BBQ247,Greenway,Pine Island Central,Electric,"(-35.427501, 149.060257)",-35.427501,149.060257
BBQ434,Kambah,Kambah District Park,Electric,"(-35.392172, 149.062029)",-35.392172,149.062029
BBQ89,Belconnen,John Knight Memorial Park,Electric,"(-35.237871, 149.07426)",-35.237871,149.07426
BBQ443,Belconnen,John Knight Memorial Park,Electric,"(-35.234384, 149.073355)",-35.234384,149.073355
BBQ5,Hughes,Groom Street - Pedestrian Parkland,Wood,"(-35.332875, 149.088974)",-35.332875,149.088974
BBQ104,Greenway,Lake Tuggeranong District Park,Electric,"(-35.40518, 149.071507)",-35.40518,149.071507
BBQ392,Amaroo,Bizant Street Neighbourhood Park,Electric,"(-35.173872, 149.135474)",-35.173872,149.135474
BBQ30,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227465, 149.063448)",-35.227465,149.063448
BBQ383,Kambah,Summerland Circuit Neighbourhood Park,Electric,"(-35.385594, 149.071294)",-35.385594,149.071294
BBQ80,Yarralumla,Weston Park,Gas,"(-35.295686, 149.095155)",-35.295686,149.095155
BBQ128,Fyshwick,Molonglo Reach Water Ski,Electric,"(-35.30499, 149.174677)",-35.30499,149.174677
BBQ476,Gungahlin,Yerrabi District Park,Electric,"(-35.179115, 149.130325)",-35.179115,149.130325
BBQ66,Gordon,Point Hut District Park,Electric,"(-35.456044, 149.084727)",-35.456044,149.084727
BBQ70,Barton,Telopea Park,Electric,"(-35.315637, 149.137298)",-35.315637,149.137298
BBQ132,Belconnen,John Knight Memorial Park,Electric,"(-35.235226, 149.074196)",-35.235226,149.074196
BBQ495,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292266, 149.099613)",-35.292266,149.099613
BBQ483,Gungahlin,Gungahlin Sportsground,Electric,"(-35.185061, 149.126278)",-35.185061,149.126278
BBQ7,Braddon,Lowanna Street - Neighbourhood Park,Electric,"(-35.264829, 149.133249)",-35.264829,149.133249
BBQ402,Franklin,Clare Burton Circuit Pedestrian Parkland,Electric,"(-35.200146, 149.147774)",-35.200146,149.147774
BBQ492,Franklin,Kilmeny Close Crip Park,Electric,"(-35.198023, 149.143886)",-35.198023,149.143886
BBQ438,Belconnen,Ginninderra Peninsula District Park East,Electric,"(-35.229117, 149.074029)",-35.229117,149.074029
