ASSET_ID,EQUIPMENT,LOCATION,DIVISION_NAME,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Plgr492,"This playground has 3 play areas with a total of 9 structures, featuring a balancing item 2 combinations of play structures 2 rockers 4 swings.",Garryowen Drive,Acton,,,-35.292293,149.10113,"(-35.292293, 149.10113)"
Plgr1,"This playground has 3 play areas with a total of 5 structures, featuring a combination of play structures 2 rockers a rotating item a swing.",Paterson Street,Ainslie,,,-35.268807,149.141573,"(-35.268807, 149.141573)"
Plgr475,"This playground has 1 play area with a total of 4 structures, featuring 2 combinations of play structures a rocker a swing.",Bizant Street,Amaroo,,,-35.173731,149.135222,"(-35.173731, 149.135222)"
Plgr195,"This playground has 1 play area with a total of 2 structures, featuring a combination of play structures a swing.",Telopea Park,Barton,,,-35.315427,149.137386,"(-35.315427, 149.137386)"
Plgr130,"This playground has 3 play areas with a total of 8 structures, featuring 2 combinations of play structures 4 rockers 2 swings.",Diddams Close (West),Belconnen,,,-35.226915,149.071375,"(-35.226915, 149.071375)"
Plgr134,"This playground has 4 play areas with a total of 6 structures, featuring a bridge 2 combinations of play structures 2 rockers a swing.",Macdermott Place,Belconnen,,,-35.226643,149.06283,"(-35.226643, 149.06283)"
Plgr533,"This playground has 3 play areas with a total of 9 structures, featuring a balancing item 3 combinations of play structures a flying fox 2 rockers 2 rotating items.",Townsend Place,Belconnen,,,-35.236067,149.075008,"(-35.236067, 149.075008)"
Plgr535,"This playground has 3 play areas with a total of 8 structures, featuring 2 climbing structures a combination of play structures a fort a rocker 3 swings.",Burgoyne Street,Bonython,,,-35.426458,149.071626,"(-35.426458, 149.071626)"
Plgr363,"This playground has 3 play areas with a total of 6 structures, featuring 3 combinations of play structures 2 rockers a swing.",Tauchert Street,Chapman,,,-35.357473,149.045936,"(-35.357473, 149.045936)"
Plgr372,"This playground has 3 play areas with a total of 11 structures, featuring 3 combinations of play structures a fort a rocker 3 rotating items 2 sculptures a swing.",Chifley Place,Chifley,,,-35.352563,149.076644,"(-35.352563, 149.076644)"
Plgr31,"This playground has 1 play area with a total of 4 structures, featuring a combination of play structures 2 rockers a swing.",Glebe Park,City,,,-35.28103,149.135986,"(-35.28103, 149.135986)"
Plgr219,"This playground has 2 play areas with a total of 1 structure, featuring a combination of play structures.",Cremone Place,Conder,,,-35.464394,149.102993,"(-35.464394, 149.102993)"
Plgr583,"This playground has 2 play areas with a total of 10 structures, featuring a balancing item 2 monkey bars a combination of play structures a fort a panel 2 rockers a rotating item a swing.",Templeton Street,Cook,,,-35.258968,149.061969,"(-35.258968, 149.061969)"
Plgr626,"This playground has 5 play areas with a total of 7 structures, featuring a climbing structure 2 combinations of play structures a rocker a rotating item 2 swings.",Narden Street Central Community Park (Crip),Crace,,,-35.201696,149.102457,"(-35.201696, 149.102457)"
Plgr10,"This playground has 1 play area with a total of 3 structures, featuring a rocker a slide a swing.",Hawdon Street,Dickson,,,-35.252691,149.149211,"(-35.252691, 149.149211)"
Plgr587,"This playground has 1 play area with a total of 5 structures, featuring a combination of play structures a fort a rocker a rotating item a swing.",Cnr Bonython And Melba Sts,Downer,,,-35.2464,149.143293,"(-35.2464, 149.143293)"
Plgr521,"This playground has 1 play area with a total of 3 structures, featuring a combination of play structures a rocker a swing.",James Harrison Street,Dunlop,,,-35.191296,149.017063,"(-35.191296, 149.017063)"
Plgr162,"This playground has 1 play area with a total of 5 structures, featuring a combination of play structures 3 rockers a swing.",Read Place,Evatt,,,-35.217985,149.067009,"(-35.217985, 149.067009)"
Plgr443,"This playground has 2 play areas with a total of 6 structures, featuring 2 balancing items a climbing structure a combination of play structures a slide a swing.",Levine Street,Evatt,,,-35.211358,149.064837,"(-35.211358, 149.064837)"
Plgr228,"This playground has 3 play areas with a total of 6 structures, featuring 2 combinations of play structures 3 rockers a swing.",Coyne Street,Fadden,,,-35.411023,149.120537,"(-35.411023, 149.120537)"
Plgr89,"This playground has 1 play area with a total of 1 structure, featuring a combination of play structures.",Kesteven Street,Florey,,,-35.226588,149.054617,"(-35.226588, 149.054617)"
Plgr594,"This playground has 2 play areas with a total of 9 structures, featuring 3 combinations of play structures an exercise item a rocker 3 rotating items a swing.",Neil Harris Crescent,Forde,,,-35.172939,149.141336,"(-35.172939, 149.141336)"
Plgr612,"This playground has 2 play areas with a total of 7 structures, featuring a climbing structure a combination of play structures 3 rockers a rotating item a swing.",Bruce Dittmar Central Community Park,Forde,,,-35.176043,149.145142,"(-35.176043, 149.145142)"
Plgr619,"This playground has 2 play areas with a total of 7 structures, featuring a balancing item 2 climbing structures a rocker 2 rotating items a swing.",Pahlman Street Neighbourhood Park,Forde,,,-35.168284,149.146402,"(-35.168284, 149.146402)"
Plgr81,"This playground has 1 play area with a total of 4 structures, featuring 2 combinations of play structures a rocker a swing.",Shakespheare Crescent,Fraser,,,-35.192023,149.040595,"(-35.192023, 149.040595)"
Plgr328,"This playground has 2 play areas with a total of 7 structures, featuring a climbing structure 2 rockers a rotating item 2 sculptures a swing.",Jeffries Street,Gowrie,,,-35.414055,149.110529,"(-35.414055, 149.110529)"
Plgr240,"This playground has 3 play areas with a total of 3 structures, featuring 2 combinations of play structures a swing.",De Little Circuit,Greenway,,,-35.404298,149.070756,"(-35.404298, 149.070756)"
Plgr242,"This playground has 4 play areas with a total of 5 structures, featuring 2 combinations of play structures 3 swings.",Anketell Street,Greenway,,,-35.411044,149.065507,"(-35.411044, 149.065507)"
Plgr525,"This playground has 2 play areas with a total of 4 structures, featuring a balancing item a climbing structure 2 rockers.",Gungahlin Central Linear Park,Gungahlin,,,-35.186477,149.134717,"(-35.186477, 149.134717)"
Plgr546,"This playground has 5 play areas with a total of 11 structures, featuring a bridge a climbing structure 2 combinations of play structures a flying fox 3 rockers 3 swings.",Wunderlich Street,Gungahlin,,,-35.179261,149.13023,"(-35.179261, 149.13023)"
Plgr14,"This playground has 1 play area with a total of 2 structures, featuring a combination of play structures a swing.",Tryon Street,Hackett,,,-35.24946,149.165247,"(-35.24946, 149.165247)"
Plgr445,"This playground has 2 play areas with a total of 5 structures, featuring a combination of play structures 2 rockers 2 swings.",Hall Park,Hall,,,-35.171626,149.070163,"(-35.171626, 149.070163)"
Plgr526,"This playground has 2 play areas with a total of 13 structures, featuring a balancing item a bridge 2 combinations of play structures 5 rockers 3 rotating items a swing.",Tanami Street (Nw),Harrison,,,-35.198155,149.15737,"(-35.198155, 149.15737)"
Plgr357,"This playground has 2 play areas with a total of 5 structures, featuring 2 combinations of play structures 2 rockers a swing.",Stapylton Street,Holder,,,-35.337189,149.044642,"(-35.337189, 149.044642)"
Plgr584,"This playground has 2 play areas with a total of 3 structures, featuring a combination of play structures a rocker a swing.",Beaurepaire Crescent,Holt,,,-35.222237,149.012613,"(-35.222237, 149.012613)"
Plgr345,"This playground has 2 play areas with a total of 6 structures, featuring a combination of play structures 3 rockers a rotating item a swing.",Dumolo Place,Isaacs,,,-35.368328,149.111165,"(-35.368328, 149.111165)"
Plgr305,"This playground has 14 play areas with a total of 22 structures, featuring a balancing item 2 climbing structures a combination of play structures 2 flying foxes 4 rockers 4 rotating items 2 slides a sound tube 5 swings.",Springbett Street,Kambah,,,-35.39234,149.063373,"(-35.39234, 149.063373)"
Plgr580,"This playground has 5 play areas with a total of 9 structures, featuring a monkey bar 3 climbing structures 2 exercise items a rotating item a slide a swing.",Summerland Circuit (North),Kambah,,,-35.385617,149.07126,"(-35.385617, 149.07126)"
