[PARKES,149.133857492,-35.2969884918,55.8188125594]
[GOWRIE,149.109711883,-35.4138276496,57.7946182673]
[WEETANGERA,149.048306562,-35.251923405,64.6237771898]
[CAPITAL HILL,149.124029181,-35.3083402774,66.05732696]
[PEARCE,149.086071191,-35.3630660636,50.6035185898]
[BONNER,149.139619878,-35.1587162296,91.4447255801]
[ISABELLA PLAINS,149.093083486,-35.4276209481,72.461541305]
[FADDEN,149.11812099,-35.4079164796,47.9314842529]
[LYNEHAM,149.127598212,-35.2443615765,74.3580302806]
[WRIGHT,149.034982145,-35.3188782319,29.7620718211]
[SYMONSTON,149.153952627,-35.3429742941,19.6759835404]
[CASEY,149.097603937,-35.1686163579,100.0]
[GORDON,149.085086016,-35.4490815389,61.348411954]
[FORREST,149.128055967,-35.3176251389,58.4041372046]
[DUFFY,149.037798935,-35.3351039496,26.6079493193]
[ISAACS,149.111720911,-35.3681305852,38.3222483172]
[FRASER,149.042729948,-35.1902997547,49.3706264216]
[ACTON,149.115216823,-35.2779044764,81.7288746299]
[BANKS,149.100112427,-35.4672617184,37.2374790989]
[THARWA,149.069088564,-35.5134253168,-3.73461261916e-11]
[GRIFFITH,149.138473668,-35.3248400594,44.3336219981]
[SPENCE,149.065494677,-35.2007108387,72.2864773865]
[FORDE,149.145237911,-35.1656963577,99.5702594188]
[LYONS,149.07524819,-35.3396007143,55.4513644445]
[NARRABUNDAH,149.144797307,-35.3345770044,33.1641889512]
[GUNGAHLIN,149.142807298,-35.1869514719,82.3492673908]
[AMAROO,149.126922295,-35.1665954621,81.6273017727]
[WATSON,149.165268722,-35.2376328958,31.5948408911]
[AINSLIE,149.152771865,-35.2593877416,49.6917822112]
[LAWSON,149.088760862,-35.2245827195,83.3108599103]
[LATHAM,149.031155869,-35.2159109403,51.033776083]
[MACQUARIE,149.063672496,-35.251601192,76.4009328696]
[BRADDON,149.134999222,-35.271568,68.2104853094]
[DENMAN PROSPECT,149.030126949,-35.2925384943,26.6348935575]
[O'CONNOR,149.113502315,-35.2592561544,95.4174414741]
[FYSHWICK,149.173717448,-35.3193919536,7.20472882667]
[CHISHOLM,149.12381298,-35.4222986309,40.4871480184]
[WANNIASSA,149.089598441,-35.3986038403,77.5157786073]
