[PARKES,149.133857492,-35.2969884918,73.4503414465]
[GOWRIE,149.109711883,-35.4138276496,98.0498550692]
[WEETANGERA,149.048306562,-35.251923405,92.2453036114]
[CAPITAL HILL,149.124029181,-35.3083402774,77.2537438341]
[PEARCE,149.086071191,-35.3630660636,96.4615331822]
[BONNER,149.139619878,-35.1587162296,92.5525266278]
[ISABELLA PLAINS,149.093083486,-35.4276209481,94.8720846098]
[FADDEN,149.11812099,-35.4079164796,91.7699663607]
[LYNEHAM,149.127598212,-35.2443615765,94.9138328288]
[WRIGHT,149.034982145,-35.3188782319,99.6940055003]
[SYMONSTON,149.153952627,-35.3429742941,75.7065993473]
[CASEY,149.097603937,-35.1686163579,97.0915949095]
[GORDON,149.085086016,-35.4490815389,95.616788972]
[FORREST,149.128055967,-35.3176251389,91.2695188271]
[DUFFY,149.037798935,-35.3351039496,90.7395445075]
[ISAACS,149.111720911,-35.3681305852,99.2616299596]
[FRASER,149.042729948,-35.1902997547,92.8971821196]
[ACTON,149.115216823,-35.2779044764,76.3102826392]
[BANKS,149.100112427,-35.4672617184,89.0216173675]
[THARWA,149.069088564,-35.5134253168,89.4585473521]
[GRIFFITH,149.138473668,-35.3248400594,93.4088276508]
[SPENCE,149.065494677,-35.2007108387,95.4783040239]
[FORDE,149.145237911,-35.1656963577,99.0950559629]
[LYONS,149.07524819,-35.3396007143,96.5010201325]
[NARRABUNDAH,149.144797307,-35.3345770044,93.6242270582]
[GUNGAHLIN,149.142807298,-35.1869514719,91.5557439109]
[AMAROO,149.126922295,-35.1665954621,89.551551884]
[WATSON,149.165268722,-35.2376328958,83.4224528047]
[AINSLIE,149.152771865,-35.2593877416,89.6483666778]
[LAWSON,149.088760862,-35.2245827195,94.2229513793]
[LATHAM,149.031155869,-35.2159109403,93.5482826452]
[MACQUARIE,149.063672496,-35.251601192,96.3995425267]
[BRADDON,149.134999222,-35.271568,94.3751135012]
[DENMAN PROSPECT,149.030126949,-35.2925384943,58.1210363827]
[O'CONNOR,149.113502315,-35.2592561544,92.6852551557]
[FYSHWICK,149.173717448,-35.3193919536,66.3440359515]
[CHISHOLM,149.12381298,-35.4222986309,93.9359683612]
[WANNIASSA,149.089598441,-35.3986038403,92.3431016982]
[URIARRA VILLAGE,148.92645395,-35.2961781,37.764501119]
[MONASH,149.088827199,-35.4162794208,97.2119330865]
[KAMBAH,149.065425584,-35.3832208768,92.5122857669]
[COOMBS,149.043235553,-35.3178430789,93.3305300993]
[CANBERRA AIRPORT,149.190566096,-35.3052917703,60.7024396408]
[MCKELLAR,149.077379864,-35.2166880132,94.5361673811]
[MACARTHUR,149.13007685,-35.4061550467,97.2302640424]
[RED HILL,149.123244921,-35.3319722183,88.171675614]
[MACGREGOR,149.019520636,-35.2123112308,91.2443509763]
[CONDER,149.099888152,-35.461485992,88.4197033001]
[CHAPMAN,149.036900965,-35.3545844273,93.0582330282]
[GARRAN,149.105130765,-35.3441543782,93.5665266615]
[COOK,149.067276969,-35.2581121145,90.4078146955]
[CRACE,149.106651711,-35.2002624222,99.0663202433]
[DEAKIN,149.108499835,-35.3221307423,86.1769459747]
[HALL,149.065110537,-35.1708947794,88.9764047564]
[FARRER,149.108671676,-35.3761668108,89.2198839599]
[SCULLIN,149.038824667,-35.2349028889,95.306944096]
[BRUCE,149.08789529,-35.2429393167,87.7886458817]
[STIRLING,149.047677424,-35.3508462712,91.6676477713]
[GIRALANG,149.090731551,-35.2113854491,96.3677076954]
[WARAMANGA,149.062726862,-35.3525657248,91.3861379396]
[JACKA,149.130866818,-35.1564091883,89.0710727846]
[MAWSON,149.0992124,-35.35943805,89.3447774242]
[O'MALLEY,149.108536782,-35.3537122564,92.9315328325]
[THEODORE,149.121854564,-35.4438411727,97.4033672898]
[KINGSTON,149.145483158,-35.3182524561,91.7171597861]
[OAKS ESTATE,149.228727624,-35.3397104,94.3589387236]
[EVATT,149.069726361,-35.211183183,98.6339465895]
[CAMPBELL,149.159240887,-35.2910485319,86.8663563469]
[GREENWAY,149.066746945,-35.4141738309,96.9533012091]
[FISHER,149.055509815,-35.3608864958,94.6902101036]
[CURTIN,149.0750964,-35.3267886706,99.4880576729]
[TURNER,149.121178296,-35.2694957593,98.8615900739]
[HOLDER,149.045326133,-35.3346963723,96.1075219983]
[HUGHES,149.096382797,-35.3331924375,95.2484771347]
[YARRALUMLA,149.095929771,-35.3047489931,92.0272918546]
[BONYTHON,149.079329667,-35.435054127,85.7959614353]
[OXLEY,149.079182781,-35.40869145,94.7723390707]
[MOLONGLO,149.038191256,-35.2989816325,83.7775837321]
[MITCHELL,149.137009289,-35.2163760593,90.3498757627]
[PALMERSTON,149.118063459,-35.1956298571,95.2652154719]
[BELCONNEN,149.069056715,-35.2358456901,97.1800146804]
[NGUNNAWAL,149.109519229,-35.170697039,92.9862948541]
[CHIFLEY,149.073579676,-35.3522908529,93.5021424467]
[HIGGINS,149.027577704,-35.2315628158,99.2018737458]
[CALWELL,149.108927543,-35.4382632622,89.2934516313]
[HARRISON,149.158393392,-35.1970663399,96.9644862492]
[RIVETT,149.038092205,-35.3470926954,100.0]
[ARANDA,149.081748871,-35.2581260588,99.2709896489]
[BARTON,149.139665374,-35.308384,99.6884943983]
[REID,149.139748286,-35.2826925714,99.941607972]
[GILMORE,149.137396622,-35.4148806919,96.1590578225]
[FRANKLIN,149.142191106,-35.1961336635,96.7376257664]
[DICKSON,149.1436442,-35.2529920444,89.0914237548]
[RICHARDSON,149.115586981,-35.4273187208,97.9848318442]
[HUME,149.165370943,-35.3929238864,-8.71125394042e-11]
