[PARKES,149.133857492,-35.2969884918,54.1728791859]
[GOWRIE,149.109711883,-35.4138276496,35.8023330965]
[WEETANGERA,149.048306562,-35.251923405,55.9405731441]
[CAPITAL HILL,149.124029181,-35.3083402774,68.9282457871]
[PEARCE,149.086071191,-35.3630660636,79.7431076162]
[BONNER,149.139619878,-35.1587162296,-6.07525220571]
[ISABELLA PLAINS,149.093083486,-35.4276209481,22.3947676145]
[FADDEN,149.11812099,-35.4079164796,39.2828370717]
[LYNEHAM,149.127598212,-35.2443615765,59.2021910305]
[WRIGHT,149.034982145,-35.3188782319,34.1869399479]
[SYMONSTON,149.153952627,-35.3429742941,87.5626833492]
[CASEY,149.097603937,-35.1686163579,19.6148696821]
[GORDON,149.085086016,-35.4490815389,7.64543983678e-12]
[FORREST,149.128055967,-35.3176251389,65.8570079512]
[DUFFY,149.037798935,-35.3351039496,35.5214781963]
[ISAACS,149.111720911,-35.3681305852,78.570777817]
[FRASER,149.042729948,-35.1902997547,21.2539141612]
[ACTON,149.115216823,-35.2779044764,65.3867088172]
[BANKS,149.100112427,-35.4672617184,-16.4183345341]
[THARWA,149.069088564,-35.5134253168,-66.1883023207]
[GRIFFITH,149.138473668,-35.3248400594,70.8253338163]
[SPENCE,149.065494677,-35.2007108387,44.8689127621]
[FORDE,149.145237911,-35.1656963577,-3.9814073627]
[LYONS,149.07524819,-35.3396007143,73.4927609906]
[NARRABUNDAH,149.144797307,-35.3345770044,79.4791990138]
[GUNGAHLIN,149.142807298,-35.1869514719,14.0396307195]
[AMAROO,149.126922295,-35.1665954621,7.91482388376]
[WATSON,149.165268722,-35.2376328958,15.1782080893]
[AINSLIE,149.152771865,-35.2593877416,30.6742663848]
[LAWSON,149.088760862,-35.2245827195,75.5833072124]
[LATHAM,149.031155869,-35.2159109403,26.7772612611]
[MACQUARIE,149.063672496,-35.251601192,73.6776351468]
[BRADDON,149.134999222,-35.271568,48.350426806]
[DENMAN PROSPECT,149.030126949,-35.2925384943,24.588930711]
[O'CONNOR,149.113502315,-35.2592561544,75.6443110181]
[FYSHWICK,149.173717448,-35.3193919536,86.4938241742]
[CHISHOLM,149.12381298,-35.4222986309,23.6624738488]
[WANNIASSA,149.089598441,-35.3986038403,50.0609321591]
[URIARRA VILLAGE,148.92645395,-35.2961781,-89.6484990587]
[MONASH,149.088827199,-35.4162794208,32.7619461708]
[KAMBAH,149.065425584,-35.3832208768,48.6671940367]
[COOMBS,149.043235553,-35.3178430789,43.7163106536]
[CANBERRA AIRPORT,149.190566096,-35.3052917703,63.2968053032]
[MCKELLAR,149.077379864,-35.2166880132,65.0600139431]
[MACARTHUR,149.13007685,-35.4061550467,35.2999183279]
[RED HILL,149.123244921,-35.3319722183,76.275997418]
[MACGREGOR,149.019520636,-35.2123112308,13.2009854574]
[CONDER,149.099888152,-35.461485992,-10.6932882811]
[CHAPMAN,149.036900965,-35.3545844273,29.3661482176]
[GARRAN,149.105130765,-35.3441543782,100.0]
[COOK,149.067276969,-35.2581121145,77.3921179991]
[CRACE,149.106651711,-35.2002624222,47.9471853623]
[DEAKIN,149.108499835,-35.3221307423,88.1425748402]
[HALL,149.065110537,-35.1708947794,17.5587184675]
[FARRER,149.108671676,-35.3761668108,72.5971113306]
[SCULLIN,149.038824667,-35.2349028889,42.3112344465]
[BRUCE,149.08789529,-35.2429393167,93.5863366478]
[STIRLING,149.047677424,-35.3508462712,42.1199836336]
[GIRALANG,149.090731551,-35.2113854491,62.5027130564]
[WARAMANGA,149.062726862,-35.3525657248,59.2230936769]
[JACKA,149.130866818,-35.1564091883,-3.16143990516]
[MAWSON,149.0992124,-35.35943805,90.3652090066]
[O'MALLEY,149.108536782,-35.3537122564,92.1478115911]
[THEODORE,149.121854564,-35.4438411727,3.82208901204]
[KINGSTON,149.145483158,-35.3182524561,75.4236239895]
[OAKS ESTATE,149.228727624,-35.3397104,95.719235097]
[EVATT,149.069726361,-35.211183183,56.3232125412]
[CAMPBELL,149.159240887,-35.2910485319,60.2720497169]
[GREENWAY,149.066746945,-35.4141738309,25.5581829895]
[FISHER,149.055509815,-35.3608864958,49.3261232117]
[CURTIN,149.0750964,-35.3267886706,79.2597728899]
[TURNER,149.121178296,-35.2694957593,63.9600768076]
[HOLDER,149.045326133,-35.3346963723,44.0477677002]
[HUGHES,149.096382797,-35.3331924375,91.2543439692]
[YARRALUMLA,149.095929771,-35.3047489931,89.7777267737]
[BONYTHON,149.079329667,-35.435054127,12.080987507]
[OXLEY,149.079182781,-35.40869145,36.7955403239]
[MOLONGLO,149.038191256,-35.2989816325,35.0076182353]
[MITCHELL,149.137009289,-35.2163760593,38.1754150187]
[PALMERSTON,149.118063459,-35.1956298571,38.1375255351]
[BELCONNEN,149.069056715,-35.2358456901,74.4777496293]
[NGUNNAWAL,149.109519229,-35.170697039,19.0217057365]
[CHIFLEY,149.073579676,-35.3522908529,71.6337100441]
[HIGGINS,149.027577704,-35.2315628158,28.9110347113]
[CALWELL,149.108927543,-35.4382632622,11.8676919882]
[HARRISON,149.158393392,-35.1970663399,6.96250636217]
[RIVETT,149.038092205,-35.3470926954,32.1027803839]
[ARANDA,149.081748871,-35.2581260588,93.3075052465]
[BARTON,149.139665374,-35.308384,64.1353727543]
[REID,149.139748286,-35.2826925714,44.4284146455]
[GILMORE,149.137396622,-35.4148806919,23.5410110664]
[FRANKLIN,149.142191106,-35.1961336635,20.9782765135]
[DICKSON,149.1436442,-35.2529920444,41.4949448692]
[RICHARDSON,149.115586981,-35.4273187208,21.4204250344]
[HUME,149.165370943,-35.3929238864,45.5852803998]
[PAGE,149.049160068,-35.2381850485,54.6831733613]
[DOWNER,149.143360492,-35.2447324098,41.2786891493]
[DUNLOP,149.02779055,-35.1945161441,11.6917438142]
[WESTON,149.058695057,-35.3355913101,58.456948588]
[TORRENS,149.086952403,-35.3677484545,76.9056803778]
[NICHOLLS,149.098635193,-35.1870451933,37.5761841865]
[FLYNN,149.044072795,-35.2051530267,32.8519259451]
[BEARD,149.211468192,-35.3414456923,78.3266848177]
[HAWKER,149.038285054,-35.2463579279,44.0046692756]
[MELBA,149.055003503,-35.2090849045,44.5870713843]
[PIALLIGO,149.18814489,-35.3154698931,72.0163502708]
[MONCRIEFF,149.115804899,-35.1579922946,4.86216177064]
[TAYLOR,149.110862571,-35.1494765571,-1.74308224891]
[RUSSELL,149.150001347,-35.2999947551,65.2043568194]
[PHILLIP,149.091215519,-35.3470815577,92.5717949179]
[HOLT,149.01711611,-35.2243085195,15.209221842]
[CHARNWOOD,149.036447847,-35.1998668898,22.7730716624]
[FLOREY,149.049575635,-35.2255077904,49.9909556109]
[KALEEN,149.103648739,-35.2297058848,75.6331185442]
[CITY,149.123860443,-35.2830900261,55.2890555069]
[HACKETT,149.165048628,-35.2507742568,20.976423615]
[THROSBY,149.15896586,-35.1883297093,1.23290609888]
